"gid","szs","szsq","szq","xzjb","yygs"
21571,青海省,海南藏族自治州,共和县,国家,中石油
21572,江苏省,徐州市,鼓楼区,国家,中石油
21573,河北省,石家庄市,灵寿县,国家,中石化
21574,青海省,海西蒙古族藏族自治州,大柴旦行政委员会,国家,中石油
21575,宁夏回族自治区,银川市,西夏区,国家,中石油
21576,青海省,海西蒙古族藏族自治州,德令哈市,国家,中石油
21577,重庆市,重庆市,江津区,国家,""
21578,四川省,南充市,南部县,国家,""
21579,重庆市,重庆市,忠县,国家,""
21580,天津市,天津市,静海区,国家,中石化
21581,湖南省,岳阳市,汨罗市,国家,""
21582,贵州省,安顺市,平坝区,国家,""
21583,四川省,南充市,嘉陵区,国家,""
21584,重庆市,重庆市,合川区,国家,""
21585,山东省,枣庄市,山亭区,国家,中石油
21586,山东省,青岛市,黄岛区,国家,中石化
21588,山东省,德州市,临邑县,国家,中石化
21589,江苏省,扬州市,江都区,国家,中石油
21590,江苏省,淮安市,清江浦区,国家,中石油
21591,江苏省,泰州市,靖江市,国家,中石油
21592,江苏省,无锡市,江阴市,国家,中石油
21593,山东省,济宁市,任城区,国家,中石油
21594,山东省,德州市,德城区,国家,中石油
21595,山东省,德州市,武城县,国家,中石油
21596,山东省,德州市,德城区,国家,中石油
21597,江苏省,连云港市,海州区,国家,中石油
21598,河南省,周口市,淮阳区,国家,中石油
21599,山东省,临沂市,河东区,国家,中石油
21600,甘肃省,陇南市,康县,国家,""
21601,安徽省,宣城市,郎溪县,国家,中石化
21602,江西省,吉安市,吉州区,国家,中石油
21603,广东省,韶关市,始兴县,国家,中石油
21604,重庆市,重庆市,渝北区,国家,""
21605,江西省,南昌市,红谷滩区,国家,中石油
21606,江西省,九江市,濂溪区,国家,中石化
21607,上海市,上海市,青浦区,国家,中石化
21608,山西省,大同市,灵丘县,国家,中石油
21609,山东省,济宁市,嘉祥县,国家,中石油
21610,天津市,天津市,静海区,国家,中石油
21611,江西省,九江市,永修县,国家,中石油
21612,新疆维吾尔自治区,乌鲁木齐市,乌鲁木齐县,国家,中石油
21613,广东省,河源市,源城区,国家,中石油
21614,内蒙古自治区,鄂尔多斯市,伊金霍洛旗,国家,中石油
21615,河北省,秦皇岛市,抚宁区,国家,中石油
21616,江苏省,南京市,栖霞区,国家,中石油
21617,河南省,平顶山市,鲁山县,国家,中石油
21618,宁夏回族自治区,银川市,西夏区,国家,中石油
21619,甘肃省,平凉市,灵台县,国家,中石油
21620,湖北省,孝感市,孝昌县,省,湖北省天然气发展有限公司
21621,湖北省,随州市,曾都区,国家,""
21622,湖北省,武汉市,黄陂区,国家,""
21624,四川省,达州市,宣汉县,国家,""
21626,湖北省,武汉市,青山区,国家,""
21627,湖北省,武汉市,洪山区,国家,""
21628,北京市,北京市,通州区,国家,中石油
21630,北京市,北京市,门头沟区,国家,中石油
21631,四川省,达州市,渠县,国家,""
21633,河南省,开封市,兰考县,国家,中石油
21634,河北省,秦皇岛市,海港区,国家,中石油
21635,河北省,廊坊市,霸州市,国家,中石油
21636,湖北省,武汉市,江夏区,省,武汉市天然气有限公司
21637,湖北省,荆州市,沙市区,省,湖北省天然气发展有限公司
21638,湖北省,仙桃市,仙桃市,国家,""
21639,湖北省,荆州市,荆州区,国家,""
21640,湖北省,武汉市,江夏区,国家,""
21641,湖北省,仙桃市,仙桃市,国家,""
21642,湖北省,恩施土家族苗族自治州,利川市,国家,""
21643,湖北省,潜江市,潜江市,国家,""
21644,湖北省,黄冈市,黄梅县,国家,""
21645,湖北省,武汉市,江夏区,国家,""
21646,湖北省,武汉市,江夏区,省,湖北省天然气发展有限公司
21647,湖北省,恩施土家族苗族自治州,利川市,国家,""
21648,湖北省,恩施土家族苗族自治州,恩施市,国家,""
21649,湖北省,黄石市,大冶市,国家,""
21650,湖北省,黄冈市,武穴市,国家,""
21651,湖北省,黄冈市,武穴市,国家,""
21652,河北省,石家庄市,鹿泉区,国家,中石油
21653,河南省,南阳市,方城县,国家,中石油
21654,山西省,吕梁市,兴县,国家,中石油
21655,江苏省,常州市,武进区,国家,中石油
21656,山西省,阳泉市,盂县,国家,中石油
21657,山东省,济宁市,汶上县,国家,中石油
21658,山西省,朔州市,朔城区,国家,中石油
21659,河北省,石家庄市,正定县,国家,中石油
21662,江苏省,泰州市,高港区,国家,中石油
21663,河南省,南阳市,唐河县,国家,中石油
21664,北京市,北京市,延庆区,国家,中石油
21665,陕西省,咸阳市,礼泉县,国家,中石油
21667,天津市,天津市,滨海新区,国家,中石油
21668,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁县,国家,中石油
21669,河南省,洛阳市,洛龙区,国家,中石油
21670,河南省,洛阳市,汝阳县,国家,中石油
21671,北京市,北京市,通州区,国家,中石油
21672,北京市,北京市,房山区,国家,中石油
21673,江西省,九江市,柴桑区,国家,中石油
