"gid","mc","bm","x","y","czfl","szs","szsq","szq","xzjb","yygs"
21221,巴东末站(国网),"010102005000045",110.36091156143104,31.03242581584084,分输站,湖北省,恩施土家族苗族自治州,巴东县,国家,""
21223,华电襄阳樊城燃机,"010102005000046",112.0836296985103,32.07006012392282,分输站,湖北省,襄阳市,樊城区,省,""
21247,茂名分输站,"010102005000050",110.86958320371474,21.65832916432332,分输站,广东省,茂名市,茂南区,国家,中石化
21242,瑞丽分输站,"010102005000059",98.02542124060237,24.171315645865374,分输站,云南省,德宏傣族景颇族自治州,陇川县,国家,""
29290,滨州分输站,"010102005000063",117.87741606246097,37.37581448368446,分输站,山东省,滨州市,滨城区,国家,中石油
21298,开封分输站,"010102005000069",114.35865014187816,34.81473071217743,分输站,河南省,开封市,顺河回族区,国家,中石化
21300,麻黄粱分输站,"010102005000071",110.18339283888587,38.45978059197453,分输站,陕西省,榆林市,榆阳区,国家,中石化
28977,巴克什营分输站,"010102005000352",117.15983374932998,40.729093607478724,分输站,河北省,承德市,滦平县,,中石油
21691,灵武分输站,"010102005000358",106.62877519663635,37.897674293398225,分输站,宁夏回族自治区,银川市,灵武市,国家,中石油
29837,"6#阀室","010102007001569",117.16158399179523,42.047405543640885,阀室,河北省,承德市,围场满族蒙古族自治县,国家,
21483,内江分输站,"010102005000163",105.34342546066144,29.71891978963761,分输站,四川省,内江市,东兴区,国家,""
21287,中卫压气站,"010102001000093",105.17633572311902,37.3881421460362,压气站,宁夏回族自治区,中卫市,沙坡头区,国家,中石油
21109,琉璃河,"010102005000008",115.84681056391642,39.633434401903656,分输站,北京市,北京市,房山区,国家,中石油
29839,"8#阀室","010102007001571",117.32234394652085,41.38016566640877,阀室,河北省,承德市,隆化县,,
31715,宽甸末站,"010102003000106",124.77220811397449,40.78834147818135,末站,辽宁省,丹东市,宽甸满族自治县,,
31716,凤城末站,"010102003000107",124.08348473719968,40.6045506252569,末站,辽宁省,丹东市,凤城市,,
22064,瓦房店分输站,"010102005000402",122.13583102934514,39.626585538265296,分输站,辽宁省,大连市,瓦房店市,国家,中石油
21920,"16#","010102007000343",89.96696487588636,41.79825141347283,阀室,新疆维吾尔自治区,吐鲁番市,鄯善县,国家,""
21679,良乡,"010102005000236",115.95300450188505,39.7892918435968,分输站,北京市,北京市,房山区,国家,中石油
21377,聊城西输气站,"010102005000120",116.01181839380409,36.526901093513594,分输站,山东省,聊城市,东昌府区,国家,中石化
21105,龙潭分输站,"010102005000367",119.05200842151889,32.20743436725898,分输站,江苏省,南京市,栖霞区,国家,中石油
21145,青山分输清管站,"010102002000024",119.0710554085729,32.37526971412316,清管站,江苏省,扬州市,仪征市,国家,中石油
21744,"3#","010102007000178",116.98684048406467,39.47147981631357,阀室,天津市,天津市,武清区,国家,中石油
21683,嘉兴输气站,"010102005000239",120.64008018810914,30.82233288736164,分输站,浙江省,嘉兴市,秀洲区,国家,中石化
21385,吴江分输站,"010102005000124",120.66572735896534,31.02299280235884,分输站,江苏省,苏州市,吴江区,国家,中石油
21437,嘉兴分输站,"010102005000152",120.76368251688326,30.692960995122945,分输站,浙江省,嘉兴市,秀洲区,国家,中石油
21694,南通分输站,"010102005000250",120.84353623555062,32.30112162799933,分输站,江苏省,南通市,如东县,国家,中石油
21438,甪直分输站,"010102005000372",120.8954576112128,31.295495835994902,分输站,江苏省,苏州市,昆山市,国家,中石油
